Fecha;Día;Tipo_dia;Transporte; Distancia_km ; Tiempo_mins ; Velocidad_kmh ;;;;;;
18/08/2025; Lunes ; Habil ; Pie ; 3,00 ; 35,00 ; 5,14 ;;;;;;
15/08/2025; Viernes ; Feriado ; Pie ; 0,27 ; 12,00 ; 1,35 ;;;;;;
14/08/2025; Jueves ; Habil ; Pie ; 2,00 ; 25,00 ; 4,80 ;;;;;;
13/08/2025; Miercoles ; Habil ; Pie ; 4,00 ; 67,00 ; 3,58 ;;;;;;
10/08/2025; Domingo ; Finde ; Pie ; 2,00 ; 33,00 ; 3,64 ;;;;;;
09/08/2025; Sabado ; Finde ; Pie ; 2,00 ; 40,00 ; 3,00 ;;;;;;
08/08/2025; Viernes ; Habil ; Pie ; 1,00 ; 63,00 ; 0,95 ;;;;;;
06/08/2025; Miercoles ; Habil ; Pie ; 6,00 ; 97,00 ; 3,71 ;;;;;;
03/08/2025; Domingo ; Finde ; Pie ; 3,00 ; 45,00 ; 4,00 ;;;;;;
30/07/2025; Miercoles ; Habil ; Pie ; 3,00 ; 45,00 ; 4,00 ;;;;;;
28/07/2025; Lunes ; Habil ; Pie ; 4,00 ; 59,00 ; 4,07 ;;;;;;
25/07/2025; Viernes ; Habil ; Pie ; 1,00 ; 18,00 ; 3,33 ;;;;;;
24/07/2025; Jueves ; Habil ; Pie ; 1,00 ; 28,00 ; 2,14 ;;;;;;
22/07/2025; Martes ; Habil ; Pie ; 3,00 ; 70,00 ; 2,57 ;;;;;;
20/07/2025; Domingo ; Finde ; Pie ; 8,00 ; 128,00 ; 3,75 ;;;;;;
19/07/2025; Sabado ; Finde ; Pie ; 2,00 ; 25,00 ; 4,80 ;;;;;;
18/07/2025; Viernes ; Habil ; Pie ; 2,00 ; 24,00 ; 5,00 ;;;;;;
17/07/2025; Jueves ; Habil ; Pie ; 1,00 ; 14,00 ; 4,29 ;;;;;;
16/07/2025; Miercoles ; Habil ; Pie ; 4,00 ; 63,00 ; 3,81 ;;;;;;
12/07/2025; Sabado ; Finde ; Pie ; 1,00 ; 11,00 ; 5,45 ;;;;;;
10/07/2025; Jueves ; Habil ; Pie ; 4,00 ; 60,00 ; 4,00 ;;;;;;
09/07/2025; Miercoles ; Feriado ; Pie ; 3,00 ; 63,00 ; 2,86 ;;;;;;
08/07/2025; Martes ; Habil ; Pie ; 2,00 ; 48,00 ; 2,50 ;;;;;;
05/07/2025; Sabado ; Finde ; Pie ; 1,00 ; 18,00 ; 3,33 ;;;;;;
04/07/2025; Viernes ; Habil ; Pie ; 1,00 ; 16,00 ; 3,75 ;;;;;;
02/07/2025; Miercoles ; Habil ; Pie ; 2,00 ; 41,00 ; 2,93 ;;;;;;
17/08/2025; Domingo ; Finde ; Auto ; 65,00 ; 114,00 ; 34,21 ;;;;;;
16/08/2025; Sabado ; Finde ; Auto ; 29,00 ; 94,00 ; 18,51 ;;;;;;
15/08/2025; Viernes ; Feriado ; Auto ; 76,00 ; 234,00 ; 19,49 ;;;;;;
14/08/2025; Jueves ; Habil ; Auto ; 4,00 ; 14,00 ; 17,14 ;;;;;;
10/08/2025; Domingo ; Finde ; Auto ; 56,00 ; 367,00 ; 9,16 ;;;;;;
09/08/2025; Sabado ; Finde ; Auto ; 26,00 ; 183,00 ; 8,52 ;;;;;;
06/08/2025; Miercoles ; Habil ; Auto ; 9,00 ; 26,00 ; 20,77 ;;;;;;
05/08/2025; Martes ; Habil ; Auto ; 6,00 ; 14,00 ; 25,71 ;;;;;;
04/08/2025; Lunes ; Habil ; Auto ; 13,00 ; 33,00 ; 23,64 ;;;;;;
03/08/2025; Domingo ; Finde ; Auto ; 17,00 ; 46,00 ; 22,17 ;;;;;;
02/08/2025; Sabado ; Finde ; Auto ; 6,00 ; 18,00 ; 20,00 ;;;;;;
01/08/2025; Viernes ; Habil ; Auto ; 22,00 ; 43,00 ; 30,70 ;;;;;;
31/07/2025; Jueves ; Habil ; Auto ; 14,00 ; 36,00 ; 23,33 ;;;;;;
30/07/2025; Miercoles ; Habil ; Auto ; 5,00 ; 11,00 ; 27,27 ;;;;;;
28/07/2025; Lunes ; Habil ; Auto ; 16,00 ; 49,00 ; 19,59 ;;;;;;
26/07/2025; Sabado ; Finde ; Auto ; 22,00 ; 57,00 ; 23,16 ;;;;;;
25/07/2025; Viernes ; Habil ; Auto ; 16,00 ; 55,00 ; 17,45 ;;;;;;
22/07/2025; Martes ; Habil ; Auto ; 8,00 ; 31,00 ; 15,48 ;;;;;;
21/07/2025; Lunes ; Habil ; Auto ; 18,00 ; 46,00 ; 23,48 ;;;;;;
20/07/2025; Domingo ; Finde ; Auto ; 11,00 ; 32,00 ; 20,63 ;;;;;;
19/07/2025; Sabado ; Finde ; Auto ; 18,00 ; 60,00 ; 18,00 ;;;;;;
18/07/2025; Viernes ; Habil ; Auto ; 8,00 ; 39,00 ; 12,31 ;;;;;;
17/07/2025; Jueves ; Habil ; Auto ; 16,00 ; 134,00 ; 7,16 ;;;;;;
16/07/2025; Miercoles ; Habil ; Auto ; 10,00 ; 25,00 ; 24,00 ;;;;;;
15/07/2025; Martes ; Habil ; Auto ; 26,00 ; 100,00 ; 15,60 ;;;;;;
14/07/2025; Lunes ; Habil ; Auto ; 6,00 ; 15,00 ; 24,00 ;;;;;;
13/07/2025; Domingo ; Finde ; Auto ; 9,00 ; 59,00 ; 9,15 ;;;;;;
12/07/2025; Sabado ; Finde ; Auto ; 35,00 ; 102,00 ; 20,59 ;;;;;;
11/07/2025; Viernes ; Habil ; Auto ; 34,00 ; 142,00 ; 14,37 ;;;;;;
10/07/2025; Jueves ; Habil ; Auto ; 4,00 ; 15,00 ; 16,00 ;;;;;;
09/07/2025; Miercoles ; Feriado ; Auto ; 24,00 ; 106,00 ; 13,58 ;;;;;;
08/07/2025; Martes ; Habil ; Auto ; 9,00 ; 41,00 ; 13,17 ;;;;;;
06/07/2025; Domingo ; Finde ; Auto ; 23,00 ; 91,00 ; 15,16 ;;;;;;
05/07/2025; Sabado ; Finde ; Auto ; 9,00 ; 26,00 ; 20,77 ;;;;;;
04/07/2025; Viernes ; Habil ; Auto ; 22,00 ; 197,00 ; 6,70 ;;;;;;
03/07/2025; Jueves ; Habil ; Auto ; 20,00 ; 68,00 ; 17,65 ;;;;;;
02/07/2025; Miercoles ; Habil ; Auto ; 13,00 ; 48,00 ; 16,25 ;;;;;;
01/07/2025; Martes ; Habil ; Auto ; 15,00 ; 41,00 ; 21,95 ;;;;;;
13/08/2025; Miercoles ; Habil ; Subte ; 18,00 ; 50,00 ; 21,60 ;;;;;;
06/08/2025; Miercoles ; Habil ; Subte ; 14,00 ; 41,00 ; 20,49 ;;;;;;
30/07/2025; Miercoles ; Habil ; Subte ; 14,00 ; 44,00 ; 19,09 ;;;;;;
16/07/2025; Miercoles ; Habil ; Subte ; 13,00 ; 41,00 ; 19,02 ;;;;;;
02/07/2025; Miercoles ; Habil ; Subte ; 8,00 ; 20,00 ; 24,00 ;;;;;;
16/08/2025; Sabado ; Finde ; Colectivo ; 4,00 ; 19,00 ; 12,63 ;;;;;;
08/08/2025; Viernes ; Habil ; Colectivo ; 5,00 ; 25,00 ; 12,00 ;;;;;;
09/07/2025; Miercoles ; Feriado ; Colectivo ; 6,00 ; 23,00 ; 15,65 ;;;;;;
08/07/2025; Martes ; Habil ; Colectivo ; 5,00 ; 11,00 ; 27,27 ;;;;;;
